,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5,centroid-0,centroid-1,centroid-2,extent,major_axis_length,mean_intensity,min_intensity,max_intensity,label,solidity,minor_axis_length,volume,bbox_volume,convex_volume,filled_volume,width,length,height,height_deviation,elongation,aspect_ratio,surface_area,sphericity,surface/volume,int_0.0-0.5,int_1.0-1.5,int_ratio,2D_slide_area,2D_slide_bbox-0,2D_slide_bbox-1,2D_slide_bbox-2,2D_slide_bbox-3,2D_slide_centroid-0,2D_slide_centroid-1,2D_slide_major_axis_length,2D_slide_minor_axis_length,2D_slide_perimeter,2D_slide_roundness,2D_slide_EOP,DIRs_bbox-0,DIRs_bbox-1,DIRs_bbox-2,DIRs_bbox-3,DIRs_bbox-4,DIRs_bbox-5,DIRs_centroid-0,DIRs_centroid-1,DIRs_centroid-2,DIRs_extent,DIRs_major_axis_length,DIRs_mean_intensity,DIRs_min_intensity,DIRs_max_intensity,DIRs_label,DIRs_solidity,DIRs_volume,DIRs_bbox_volume,DIRs_convex_volume,DIRs_filled_volume,DIRs_width,DIRs_length,DIRs_height,DIRs_elongation,DIRs_aspect_ratio,DIRs_surface_area,DIRs_sphericity,DIRs_surface/volume,DIRs_domain_num,DIRs_include,DIRs_n,DIRs_centroid_distance2border,DIRs_mean_distance2border,DIRs_min_distance2border,im_path,im_batch,condition,n_masks
390,3,3,3,73,67,71,37.8411683662958,31.6439598784508,34.464378605274,0.509873949579832,7.41618718200187,-2.63489271604487E-16,-1.41356752691037,5.77430619761557,1,0.900567028838461,5.96920074007698,155.328,304.64,172.478,155.328,7,6.4,6.8,1.91277966718568,0.914285714285714,1.0625,159.844697265625,0.874216618372087,1.02907844860956,-0.104875972073764,-0.243522248975283,2.32200230577127,32.83,4,3,67,73,36.1449893390192,38.1035638135851,7.30031605205362,5.7916675383718,22.4066017177982,0.821729271578272,0.0859507005934689,31.2380952380952,23.952380952381,22.8095238095238,44,37.7619047619048,45.2380952380952,36.9791797092054,30.3104122440617,33.2833653445875,0.299696672144681,2.17660649161333,1.45606827507746,0.601081117062422,3.56868100794386,19.7142857142857,0.703165551338567,1.26757142857143,4.97528571428572,1.89266666666667,1.26757142857143,1.27619047619048,1.38095238095238,2.24285714285714,1.100423824296,1.67953012014932,34.5348046875,0.154183228651244,48.6944897874991,19.7142857142857,1,21,7.40493380563566,6.55262493938547,2.61944226775552,res_0.1_z_score_norm/treated_RhoAi/Image_25_AgRi_220420_20220420_20220419exp_AgRiRhoAGTPCy3H4K16ac_img.npz,oAGTPCy3H4K16ac,Aged + Ri,0
391,3,3,3,75,76,80,36.9713922574749,38.9167712693603,39.6459824687636,0.470465417383226,8.06690184783308,-2.05098810194036E-16,-1.24638088062991,6.24952622794157,1,0.907709690029653,6.72431141621625,190.403,404.712,209.762,190.403,7.2,7.3,7.7,1.8396136647643,1.01388888888889,1.05479452054795,182.4847265625,0.87708185798684,0.958413084680914,-0.100929511779354,-0.094330901826484,0.93462160039677,38.84,3,3,74,75,38.9593202883625,36.7767765190525,7.53471547876491,6.6277954754242,23.8894444302728,0.855218299919482,0.0727556261304428,30.55,27.95,25.1,44.8,43.2,47.65,37.0251155085447,34.8442405271335,35.4380952216554,0.278120399806323,2.29820180741752,1.32406222946957,0.600867399660364,3.17120597799407,18.25,0.716069084547965,1.7149,7.0585,2.4995,1.7149,1.425,1.525,2.255,1.12371826128571,1.67659166526277,46.164443359375,0.133587043728618,71.8629527106051,18.25,1,20,7.35177884544541,6.46752195693638,2.90837015311017,res_0.1_z_score_norm/treated_RhoAi/Image_51_20201026expRhoAAF488Aged2treatedSlide10_img.npz,2treatedSlide10,Aged + Ri,0
392,3,3,3,68,78,69,35.9404528695147,39.7122372387228,34.8980680821312,0.471207459207459,7.57347442679576,-1.30475425685215E-16,-1.50784505749262,4.60412879208155,1,0.907122428709898,5.96937602947427,151.611,321.75,167.134,151.611,6.5,7.5,6.6,1.5805768986453,1.15384615384615,0.88,157.91857421875,0.87070569503818,1.04160367136125,-0.231120536151293,-0.0354386075988709,0.153333875859792,33.59,3,3,77,66,39.6707353378982,35.5364691872581,7.25375873086458,5.95664655641004,22.2450793488832,0.853005731747308,0.0694286384617445,30.25,34.75,23.25,43.875,48.375,44.25,36.5795363494135,40.9981693869824,33.6336368434466,0.282253406678757,2.1674046772498,1.30943697762676,0.6010051792007,2.81105675639323,17.5416666666667,0.704955433430395,1.29725,5.11604166666667,1.97966666666667,1.29725,1.3625,1.3625,2.1,1.05370079697269,1.6668878738364,41.481416015625,0.126774342286256,69.7810981441309,17.5416666666667,1,24,7.71849356914715,7.08058007896337,2.99488462823295,res_0.1_z_score_norm/treated_RhoAi/Image_9_20201218expAg2+Ri_RhoAAF488_2_img.npz,+Ri_RhoAAF488_2,Aged + Ri,0
393,3,3,3,63,70,71,32.3796864151817,35.5007738370748,36.3925017357093,0.50582382206614,7.09176535825571,-3.45322782942886E-17,-1.21550560892759,5.47141224181587,1,0.936986264238909,5.56298019129106,138.272,273.36,147.571,138.272,6,6.7,6.8,1.68109124304503,1.11666666666667,1.01492537313433,143.9288671875,0.898446829268062,1.04091115473487,-0.197083571833923,-0.0643666113902805,0.326595518801133,29.89,3,4,69,62,36.2422214787554,32.5439946470391,6.7742708777344,5.64322845388318,20.416652224137,0.90108698485046,0.0445523374249897,32.5555555555556,26.1666666666667,27.5,44.1111111111111,39.0555555555556,48.1666666666667,37.9061298970451,32.0869076530255,37.0313605559469,0.354932651996716,2.019356975746,1.32911973578643,0.600966071879508,2.94112084018325,13.5555555555556,0.806486611935742,1.38305555555556,4.42677777777778,1.75072222222222,1.38305555555556,1.15555555555556,1.28888888888889,2.06666666666667,1.18737808930242,1.61733420900088,30.018828125,0.179211829751608,53.1065465047214,13.5555555555556,1,18,8.20716458543228,7.42788829902461,3.34854653674037,res_0.1_z_score_norm/treated_RhoAi/Image_31_20210712expAgRiPhalloidinAF48820210928_img.npz,inAF48820210928,Aged + Ri,0
394,3,3,3,61,67,75,32.2985017064101,33.8269358113271,35.4958267538913,0.514184476772031,7.29881452658373,4.46729385689969E-17,-1.62534765854632,3.52855789354765,1,0.888170055452865,5.75595889632887,137.423,267.264,154.726,137.423,5.8,6.4,7.2,1.82776762470956,1.10344827586207,1.125,148.94431640625,0.864635651922622,1.0838383415167,-0.290558418946778,-0.0537529553395578,0.18499878796974,27.96,4,4,66,58,34.8072246065808,31.2671673819742,6.49799687213005,5.58929469541533,20.602438661764,0.827770169230086,0.0835684143680814,29,28.0454545454545,24.7272727272727,42.1818181818182,41.3636363636364,42.8636363636364,35.0523349609008,34.202592534771,33.0816532281615,0.329828598635579,1.94589976541605,1.32974708878112,0.601077974549758,2.74798886545513,17.1363636363636,0.735251078689346,1.31686363636364,4.87381818181818,2.08868181818182,1.31686363636364,1.31818181818182,1.33181818181818,1.81363636363636,1.0573809397673,1.5080850559126,38.7398168945313,0.131450597052862,68.5783327129589,17.1363636363636,1,22,6.91814798663556,6.23640842803833,2.58447180808895,res_0.1_z_score_norm/treated_RhoAi/Image_2_20201119expAgedTreatedTAZaf488_img.npz,TreatedTAZaf488,Aged + Ri,0
395,3,3,3,74,67,70,38.2768528023617,34.8824569182829,35.0501126775963,0.540745874500736,7.48553079652876,-4.41960870453166E-16,-1.5186293948899,4.10177554851254,1,0.913864310059618,6.35456846644416,164.629,304.448,180.146,164.629,7.1,6.4,6.7,1.83984130152058,0.901408450704225,1.046875,164.8084375,0.881405134198098,1.00108995073772,-0.241067148870226,-0.018161171941551,0.0753365691951983,35.24,4,3,67,74,33.4829738933031,37.9395573212259,7.33151124677279,6.19147035162773,22.8551298552221,0.847770650662666,0.0740389998354237,36.1052631578947,30,24.1052631578947,50,44.1052631578947,47.1052631578947,42.1967266933294,36.9081421817403,34.3358317561422,0.324464269431824,2.25557373893568,1.37642031187337,0.601441409300944,2.96014923361587,13.5789473684211,0.752397375279247,1.78452631578947,6.1191052631579,2.50205263157895,1.78452631578947,1.38947368421053,1.41052631578947,2.3,1.122340825669,1.70642883970446,41.8446142578125,0.155213680035393,64.9323501101489,13.5789473684211,1,19,7.27777083835077,6.45668972326688,2.51904036850658,res_0.1_z_score_norm/treated_RhoAi/Image_37_20201218expSlide9A1+RiTazCy3_img.npz,ide9A1+RiTazCy3,Aged + Ri,0
396,3,3,3,79,73,69,40.5590152063722,38.5136457839147,35.1539551549352,0.45624287992709,7.69780557288778,1.39805657014896E-16,-1.31278389701902,5.81562036622611,1,0.911442242590791,5.97875202056796,160.196,351.12,175.761,160.196,7.6,7,6.6,1.61423386371666,0.921052631578947,0.942857142857143,161.99951171875,0.880517916910928,1.01125815699986,-0.241458425573032,-0.0194238488122958,0.0804438642644131,39.42,4,4,73,79,36.7833587011669,41.3411973617453,7.45697288076559,6.76230126760725,23.5379725676967,0.894104702906976,0.053204364018684,33.3181818181818,30.3636363636364,25.4090909090909,47,44.0909090909091,44.8181818181818,39.9456941054746,36.7428094076319,34.3985912841426,0.296990062588286,2.08031068509705,1.3537275266022,0.60114015008925,3.21618990922228,14.5454545454545,0.724698764695551,1.27436363636364,5.42604545454546,1.90845454545455,1.27436363636364,1.36818181818182,1.37272727272727,1.94090909090909,1.08028350514186,1.49247230042685,31.1508642578125,0.164164115808627,53.4301210658415,14.5454545454545,1,22,6.77152191912993,6.17791092689199,2.71496490798638,res_0.1_z_score_norm/treated_RhoAi/Image_15_20201218expAg1+RiRhoAAF488_2_img.npz,1+RiRhoAAF488_2,Aged + Ri,0
397,3,3,3,65,69,71,34.0219595926295,36.4153975159286,34.7120956933684,0.501441118969582,7.35373355354277,1.22829596618148E-16,-1.57885774722083,5.46746682831873,1,0.894032691087802,5.87034864417473,139.529,278.256,156.067,139.529,6.2,6.6,6.8,1.7138753295241,1.06451612903226,1.03030303030303,151.181357421875,0.860522450224733,1.0835120829496,-0.382928750846519,0.0966952866272373,-0.252515086457934,29.37,3,3,69,65,36.391215526047,34.2580864828056,6.58096783262112,5.75423815435753,20.5722871427474,0.872064596439421,0.0605440810450567,25.75,28,20.5625,40.0625,41.4375,42.4375,32.1774425194457,34.3304346419149,30.7298272106676,0.340785582103346,2.18310495871769,1.36417203331177,0.602201697035514,3.09552352927779,9.625,0.748850394617415,1.8173125,5.43525,2.42475,1.8173125,1.43125,1.34375,2.1875,0.991434085515285,1.70148100691579,44.0760888671875,0.147169862331517,53.2626075941681,9.625,1,16,7.44233059940802,6.64549715566795,2.62998682338272,res_0.1_z_score_norm/treated_RhoAi/Image_27_20201026expAged1+RhoAi100uM_img.npz,ged1+RhoAi100uM,Aged + Ri,0
398,3,3,3,74,70,70,35.9874120159228,35.7611710120476,32.9307067724672,0.47606826075634,7.22507430662052,-1.85067414370332E-16,-1.31826489319078,5.91629607876024,1,0.905478871642468,6.0935713617814,151.732,318.719,167.571,151.732,7.1,6.7,6.7,1.70672881381882,0.943661971830986,1,159.11640625,0.864610724180236,1.04866742842644,-0.137462764400214,-0.231416617768294,1.68348584271548,34.59,4,3,69,74,36.8248048568951,36.8895634576467,7.06797346921394,6.24723721623887,22.4308657865101,0.863909704230956,0.0714346914736415,31.304347826087,33.4782608695652,22.0434782608696,46,46.5217391304348,42.8260869565217,38.3345963026254,39.5827806208822,32.1065343795213,0.304654885434039,2.17276575430875,1.50931132353434,0.601618264678937,3.75676013701406,18.2173913043478,0.741147290986006,1.24060869565217,4.5944347826087,1.72308695652174,1.24060869565217,1.4695652173913,1.30434782608696,2.07826086956522,0.981214097070874,1.66282497695541,38.2902221679688,0.13927401767244,47.1596991974537,18.2173913043478,1,23,6.76924514181361,6.13562829305902,2.41999921004256,res_0.1_z_score_norm/treated_RhoAi/Image_54_20201026expRhoAAF488Aged2treatedSlide10_img.npz,2treatedSlide10,Aged + Ri,0
399,3,3,3,74,84,70,39.0140239538896,41.5856221187931,35.8173058253774,0.467830383813847,8.56148894554885,1.81988306585621E-16,-1.18927516015558,6.69773590224114,1,0.913288208412285,6.26786061021217,180.263,385.317,197.378,180.263,7.1,8.1,6.7,1.52596769984266,1.14084507042254,0.82716049382716,177.2234765625,0.870764273981671,0.983138395358448,-0.201578777116323,0.0349923661026322,-0.17359151892483,42.85,3,3,83,74,44.0002333722287,38.7787631271879,8.32896907401398,6.60608604418028,24.8208152801713,0.874034559906177,0.0544978190613622,30.1764705882353,36.4705882352941,23.5294117647059,45.2941176470588,51.4705882352941,46.1176470588235,37.3670271801732,43.1889203724555,34.4137389729653,0.327114783501794,2.35194088918286,1.51173216330937,0.600773884375049,3.8960291669066,15.1764705882353,0.7496679373515,1.78864705882353,6.63405882352941,2.51652941176471,1.78864705882353,1.51176470588235,1.5,2.25882352941177,1.07726450172399,1.69045117012075,57.6312939453125,0.114322120147356,67.534760870888,15.1764705882353,1,17,7.45545835092389,6.65354489473605,2.61781403080782,res_0.1_z_score_norm/treated_RhoAi/Image_62_20201026expRhoAAF488Aged2treatedSlide10_img.npz,2treatedSlide10,Aged + Ri,0
400,3,3,3,73,79,75,36.0606740286639,41.1556271401659,36.0075823020639,0.501665622389307,7.92694051293546,0,-1.2871159111064,7.09822174993233,1,0.924045337167533,6.79217572365318,192.158,383.04,207.953,192.158,7,7.6,7.2,1.74827338819484,1.08571428571429,0.947368421052632,182.80625,0.880911063894623,0.951333017620916,-0.140390792426354,-0.239113561389409,1.70319974164148,40.78,3,3,78,73,40.1738597351643,35.7690044139284,7.60126053455318,6.86340846299509,24.1722871427474,0.877044433079548,0.0631802384817074,29.8148148148148,36.037037037037,26.6296296296296,43.5925925925926,49.0740740740741,45.7407407407407,35.8967872131566,41.9434121976032,35.3646630958371,0.34602988494026,1.99053445059541,1.45683715303533,0.601327528808831,3.5900683946102,18.037037037037,0.785379251010282,1.2857037037037,4.10737037037037,1.67692592592593,1.2857037037037,1.37777777777778,1.3037037037037,1.91111111111111,1.0735318548872,1.56602293662171,48.115537109375,0.110715356867606,68.8179512883717,18.037037037037,1,27,8.38460241646588,7.52419717207681,3.80200719004391,res_0.1_z_score_norm/treated_RhoAi/Image_29_20210712expAgRiPhalloidinAF48820210928_img.npz,inAF48820210928,Aged + Ri,0
